Title,Link,Heritage Category,Grade,Location
"CASTLE CURTAIN WALLS WITH GATEWAY, TOWERS AND ATTACHED BUILDINGS",https://HistoricEngland.org.uk/listing/the-list/list-entry/1041690,Listing,I,CASTLE CURTAIN WALLS WITH GATEWAY  TOWERS AND ATTACHED BUILDINGS  WARKWORTH CASTLE  Warkworth  Northumberland
WALL OF BERWICK CASTLE TO NORTH OF THE RUINS OF CONSTABLE TOWER,https://HistoricEngland.org.uk/listing/the-list/list-entry/1041696,Listing,I,WALL OF BERWICK CASTLE TO NORTH OF THE RUINS OF CONSTABLE TOWER  Berwick-upon-Tweed  Northumberland
EDLINGHAM CASTLE RUINS,https://HistoricEngland.org.uk/listing/the-list/list-entry/1042032,Listing,I,EDLINGHAM CASTLE RUINS  EDLINGHAM VILLAGE  Edlingham  Northumberland
ETAL CASTLE GREAT TOWER,https://HistoricEngland.org.uk/listing/the-list/list-entry/1042183,Listing,I,ETAL CASTLE GREAT TOWER  ETAL  Ford  Northumberland
LINDISFARNE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1042306,Listing,I,LINDISFARNE CASTLE  BEBLOWE  Holy Island  Northumberland
CHILLINGHAM CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1042387,Listing,I,CHILLINGHAM CASTLE  CHILLINGHAM  Chillingham  Northumberland
MITFORD CASTLE. REMAINS OF WEST CURTAIN WALL BUILDINGS,https://HistoricEngland.org.uk/listing/the-list/list-entry/1042645,Listing,I,MITFORD CASTLE. REMAINS OF WEST CURTAIN WALL BUILDINGS  MITFORD  Mitford  Northumberland
HASTINGS CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1043579,Listing,I,HASTINGS CASTLE  CASTLE HILL  HASTINGS  Hastings  East Sussex
KEEP TO LEWES CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1043894,Listing,I,KEEP TO LEWES CASTLE  CASTLE GATE  Lewes  Lewes  East Sussex
BODIAM CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1044134,Listing,I,BODIAM CASTLE  EWHURST ROAD  BODIAM CASTLE  Bodiam  Rother  East Sussex
"BIRTLEY CASTLE, IN GARDEN OF BIRTLEY HALL",https://HistoricEngland.org.uk/listing/the-list/list-entry/1044931,Listing,II,BIRTLEY CASTLE  IN GARDEN OF BIRTLEY HALL  BIRTLEY  Birtley  Northumberland
C WING INCLUDING THE ROUND TOWER,https://HistoricEngland.org.uk/listing/the-list/list-entry/1047045,Listing,II*,C WING INCLUDING THE ROUND TOWER  NEW ROAD  HM PRISON OXFORD  OXFORD  Oxford  Oxfordshire
GRESHAM CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1049530,Listing,II,GRESHAM CASTLE  CHEQUERS STREET  Gresham  North Norfolk  Norfolk
REMAINS OF BACONSTHORPE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1049845,Listing,I,REMAINS OF BACONSTHORPE CASTLE  Baconsthorpe  North Norfolk  Norfolk
MANOR HOUSE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1052609,Listing,II*,MANOR HOUSE  ASCOTT D'OYLEY  Ascott-under-Wychwood  West Oxfordshire  Oxfordshire
THE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1053985,Listing,II,THE CASTLE  CASTLE GREEN  Bridgnorth  Shropshire
REMAINS OF LEA CASTLE ADJOINING LOWER LEA FARMHOUSE TO NORTH,https://HistoricEngland.org.uk/listing/the-list/list-entry/1054509,Listing,II,REMAINS OF LEA CASTLE ADJOINING LOWER LEA FARMHOUSE TO NORTH  LEA  Lydham  Shropshire
REMAINS OF CASTLE ON CASTLE SITE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1054569,Listing,II,REMAINS OF CASTLE ON CASTLE SITE  BULL LANE|REMAINS OF CASTLE ON CASTLE SITE  BULL STREET|REMAINS OF CASTLE ON CASTLE SITE  CASTLE STREET|REMAINS OF CASTLE ON CASTLE SITE  MARKET SQUARE|REMAINS OF CASTLE ON CASTLE SITE  WELSH STREET|REMAINS OF CASTLE ON CASTLE SITE  Bishop's Castle  Shropshire
"REMAINS OF CASTLE, HOPTON CASTLE",https://HistoricEngland.org.uk/listing/the-list/list-entry/1054935,Listing,I,REMAINS OF CASTLE  HOPTON CASTLE  Hopton Castle  Shropshire
STOGURSEY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1057403,Listing,II*,STOGURSEY CASTLE  CASTLE STREET  STOGURSEY  Stogursey  Somerset West and Taunton  Somerset
DUNSTER CASTLE AND GATEHOUSE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1057643,Listing,I,DUNSTER CASTLE AND GATEHOUSE  CASTLE HILL  DUNSTER  Dunster  Somerset West and Taunton  Somerset
SANDGATE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1061237,Listing,I,SANDGATE CASTLE  CASTLE ROAD  SANDGATE  Sandgate  Folkestone and Hythe  Kent
SLEAFORD CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1061302,Listing,II,SLEAFORD CASTLE  CASTLE CAUSEWAY  Sleaford  North Kesteven  Lincolnshire
SOMERTON CASTLE AND OUTBUILDING TO NORTH-WEST,https://HistoricEngland.org.uk/listing/the-list/list-entry/1061974,Listing,I,SOMERTON CASTLE AND OUTBUILDING TO NORTH-WEST  CASTLE LANE  Boothby Graffoe  North Kesteven  Lincolnshire
GRIMSTHORPE CASTLE AND NORTH COURT,https://HistoricEngland.org.uk/listing/the-list/list-entry/1062823,Listing,I,GRIMSTHORPE CASTLE AND NORTH COURT  GRIMSTHORPE PARK  Edenham  South Kesteven  Lincolnshire
DOVER CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1070326,Listing,I,DOVER CASTLE  DOVER CASTLE  Dover  Dover  Kent
CLITHEROE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1071553,Listing,I,CLITHEROE CASTLE  CASTLE GATE  Clitheroe  Ribble Valley  Lancashire
"CASTLE RUINS (INCLUDING 2 ISOLATED TOWERS AT SOUTH EAST AND SOUTH WEST ANGLES OF OUTER WALL)
",https://HistoricEngland.org.uk/listing/the-list/list-entry/1073591,Listing,I,"CASTLE RUINS (INCLUDING 2 ISOLATED TOWERS AT SOUTH EAST AND SOUTH WEST ANGLES OF OUTER WALL)
  SOUTH STREET  Ashby-de-la-Zouch  North West Leicestershire  Leicestershire"
REMAINS OF CALUDON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1076645,Listing,I,REMAINS OF CALUDON CASTLE  FARREN ROAD  COVENTRY  Coventry
STAPLETON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1076962,Listing,II,STAPLETON CASTLE  Stapleton  County of Herefordshire
RUINS OF CASTLE AND ELEVENTH CENTURY CHURCH,https://HistoricEngland.org.uk/listing/the-list/list-entry/1077599,Listing,I,RUINS OF CASTLE AND ELEVENTH CENTURY CHURCH  Castle Rising  King's Lynn and West Norfolk  Norfolk
BRAMPTON BRYAN CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1082066,Listing,I,BRAMPTON BRYAN CASTLE  Brampton Bryan  County of Herefordshire
RUINS OF WRESSLE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1083170,Listing,I,RUINS OF WRESSLE CASTLE  BREIGHTON ROAD  Wressle  East Riding of Yorkshire
INNER WARD TO COOLING CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1085771,Listing,I,INNER WARD TO COOLING CASTLE  Cooling  Medway
ROSE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1087473,Listing,I,ROSE CASTLE  Dalston  Carlisle  Cumbria
NAWORTH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1087643,Listing,I,NAWORTH CASTLE  NAWORTH  Brampton  Carlisle  Cumbria
WOLVESEY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1095511,Listing,I,WOLVESEY CASTLE  THE CLOSE  WINCHESTER  Winchester  Hampshire
PENYARD CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1099662,Listing,II,PENYARD CASTLE  Weston under Penyard  County of Herefordshire
ROUGEMONT CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1104054,Listing,I,ROUGEMONT CASTLE  CASTLE STREET  EXETER  Exeter  Devon
"MARISCO CASTLE, KEEP AND BAILEY WALLS",https://HistoricEngland.org.uk/listing/the-list/list-entry/1104957,Listing,II*,MARISCO CASTLE  KEEP AND BAILEY WALLS  LUNDY  Torridge  Devon
BERRY POMEROY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1108571,Listing,I,BERRY POMEROY CASTLE  Berry Pomeroy  South Hams  Devon
BOLSOVER CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1108976,Listing,I,BOLSOVER CASTLE  CASTLE STREET  Old Bolsover  Bolsover  Derbyshire
MAXSTOKE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1116166,Listing,I,MAXSTOKE CASTLE  CASTLE LANE  CASTLE PARK  Maxstoke  North Warwickshire  Warwickshire
ST MARY'S HALL,https://HistoricEngland.org.uk/listing/the-list/list-entry/1116402,Listing,I,ST MARY'S HALL  BAYLEY LANE  COVENTRY  Non Civil Parish  Coventry
STAFFORD CASTLE (REMAINS),https://HistoricEngland.org.uk/listing/the-list/list-entry/1116695,Listing,II,STAFFORD CASTLE (REMAINS)  Stafford  Staffordshire
Windsor Castle including all the buildings within the walls,https://HistoricEngland.org.uk/listing/the-list/list-entry/1117776,Listing,I,Windsor Castle  Windsor  SL4 1NJ  WINDSOR  Windsor and Maidenhead
SHERBORNE OLD CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1119378,Listing,I,SHERBORNE OLD CASTLE  SHERBORNE CASTLE  Castleton  Dorset
BROWNSEA CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1120277,Listing,II,BROWNSEA CASTLE  BROWNSEA ISLAND  Studland  Dorset
LUMLEY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1120960,Listing,I,LUMLEY CASTLE  LUMLEY PARK  Little Lumley  County Durham
CORFE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1121000,Listing,I,CORFE CASTLE  THE SQUARE  THE SQUARE  Corfe Castle  Dorset
THE CASTLE WEST RANGE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1121383,Listing,I,THE CASTLE WEST RANGE  PALACE GREEN  DURHAM  County Durham
SCARGILL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1121820,Listing,II*,SCARGILL CASTLE  CHAPEL LANE  Scargill  County Durham
HADLEIGH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1123687,Listing,I,HADLEIGH CASTLE  CASTLE LANE  HADLEIGH  Castle Point  Essex
WOODCROFT CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1126782,Listing,II*,WOODCROFT CASTLE  WOODCROFT ROAD  Etton  City of Peterborough
HALTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1130460,Listing,I,HALTON CASTLE  CASTLE ROAD  RUNCORN  Halton
WALLS OF THE OUTER BAILEY AT BEESTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1130513,Listing,I,WALLS OF THE OUTER BAILEY AT BEESTON CASTLE  CASTLE ROAD  Beeston  Cheshire West and Chester
BOLTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1130885,Listing,I,BOLTON CASTLE  CASTLE BOLTON  Castle Bolton with East and West Bolton  Richmondshire  North Yorkshire
REMAINS OF KILTON CASTLE CIRCA 30 METRES EAST OF CASTLE COTTAGES,https://HistoricEngland.org.uk/listing/the-list/list-entry/1136489,Listing,I,REMAINS OF KILTON CASTLE CIRCA 30 METRES EAST OF CASTLE COTTAGES  KILTON THORPE LANE  KILTON  Lockwood  Redcar and Cleveland
"ST MAWES CASTLE, GATEHOUSE, BLOCKHOUSE, MAGAZINE AND OUTER DEFENCES",https://HistoricEngland.org.uk/listing/the-list/list-entry/1136705,Listing,I,ST MAWES CASTLE  GATEHOUSE  BLOCKHOUSE  MAGAZINE AND OUTER DEFENCES  ST MAWES  St. Just-in-Roseland  Cornwall
EGREMONT CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1137138,Listing,I,EGREMONT CASTLE  GREEN DYKES  Egremont  Copeland  Cumbria
MAIN BUILDING OF APPLEBY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1137815,Listing,I,MAIN BUILDING OF APPLEBY CASTLE  BOROUGHGATE  Appleby-in-Westmorland  Eden  Cumbria
PENRITH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1138256,Listing,I,PENRITH CASTLE  ULLSWATER ROAD  PENRITH  Eden  Cumbria
ST MICHAEL'S MOUNT,https://HistoricEngland.org.uk/listing/the-list/list-entry/1143795,Listing,I,ST MICHAEL'S MOUNT
COCKERMOUTH CASTLE (UNINHABITED PARTS),https://HistoricEngland.org.uk/listing/the-list/list-entry/1144724,Listing,I,COCKERMOUTH CASTLE (UNINHABITED PARTS)  CASTLEGATE  Cockermouth  Allerdale  Cumbria
RUINS OF FORMER CASTLE TO NORTH OF FARMHOUSE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1144883,Listing,II,RUINS OF FORMER CASTLE TO NORTH OF FARMHOUSE  HARTLEY CASTLE  Hartley  Eden  Cumbria
TUDOR WING WEST OF HIGH HEAD CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1145453,Listing,II*,TUDOR WING WEST OF HIGH HEAD CASTLE  HIGH HEAD  Skelton  Eden  Cumbria
HAZLEWOOD CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1148386,Listing,I,HAZLEWOOD CASTLE  HAZLEWOOD CASTLE ESTATE  Stutton with Hazlewood  Selby  North Yorkshire
SHERIFF HUTTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1149592,Listing,II*,SHERIFF HUTTON CASTLE  MAIN STREET  Sheriff Hutton  Ryedale  North Yorkshire
WHORLTON CASTLE GATEHOUSE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1151332,Listing,I,WHORLTON CASTLE GATEHOUSE  CASTLE BANK  Whorlton  Hambleton  North Yorkshire
DUNSTANBURGH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1153477,Listing,I,DUNSTANBURGH CASTLE  DUNSTANBURGH  Craster  Northumberland
"ETAL CASTLE GATE TOWER, SOUTH CURTAIN WALL AND SOUTH WEST TOWER",https://HistoricEngland.org.uk/listing/the-list/list-entry/1153966,Listing,I,ETAL CASTLE GATE TOWER  SOUTH CURTAIN WALL AND SOUTH WEST TOWER  ETAL  Ford  Northumberland
FORD CASTLE FLAGPOLE TOWER AND FORECOURT WALL ATTACHED TO NORTH,https://HistoricEngland.org.uk/listing/the-list/list-entry/1154034,Listing,I,FORD CASTLE FLAGPOLE TOWER AND FORECOURT WALL ATTACHED TO NORTH  FORD CASTLE  Ford  Northumberland
SUDELEY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1154791,Listing,I,SUDELEY CASTLE  Sudeley  Tewkesbury  Gloucestershire
NORHAM CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1154811,Listing,I,NORHAM CASTLE  NORHAM  Norham  Northumberland
MORPETH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1155642,Listing,I,MORPETH CASTLE  CASTLE WALK  Morpeth  Northumberland
BRONSIL CASTLE BRIDGE AND MOAT,https://HistoricEngland.org.uk/listing/the-list/list-entry/1156646,Listing,II*,BRONSIL CASTLE BRIDGE AND MOAT  Eastnor  County of Herefordshire
KENTCHURCH COURT,https://HistoricEngland.org.uk/listing/the-list/list-entry/1157632,Listing,I,KENTCHURCH COURT  Kentchurch  County of Herefordshire
BRANCEPETH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1159012,Listing,I,BRANCEPETH CASTLE  NORTH DRIVE  BRANCEPETH PARK  Brancepeth  County Durham
THE CASTLE NORTH RANGE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1160921,Listing,I,THE CASTLE NORTH RANGE  PALACE GREEN  DURHAM  Non Civil Parish  County Durham
OKEHAMPTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1165647,Listing,I,OKEHAMPTON CASTLE  Okehampton Hamlets  West Devon  Devon
RAVENSWORTH CASTLE AND PARK WALL,https://HistoricEngland.org.uk/listing/the-list/list-entry/1166522,Listing,I,RAVENSWORTH CASTLE AND PARK WALL  THE GREEN  Ravensworth  Richmondshire  North Yorkshire
RUINED REMAINS OF NEWTON-KYME CASTLE APPROXIMATELY 25 METRES EAST OF NEWTON-KYME HALL,https://HistoricEngland.org.uk/listing/the-list/list-entry/1166953,Listing,II,RUINED REMAINS OF NEWTON-KYME CASTLE APPROXIMATELY 25 METRES EAST OF NEWTON-KYME HALL  NEWTON-KYME HALL ESTATE  Newton Kyme cum Toulston  Selby  North Yorkshire
CLIFFORD CASTLE AND BARBICAN,https://HistoricEngland.org.uk/listing/the-list/list-entry/1167903,Listing,I,CLIFFORD CASTLE AND BARBICAN  A  438  Clifford  County of Herefordshire
THE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1168856,Listing,I,THE CASTLE  CASTLE STREET  Totnes  South Hams  Devon
"Colcombe Castle House ",https://HistoricEngland.org.uk/listing/the-list/list-entry/1170102,Listing,II,Colcombe Castle House  Colcombe  COLCOMBE  Colyton  East Devon  Devon
Snodhill Castle,https://HistoricEngland.org.uk/listing/the-list/list-entry/1172756,Listing,II*,Snodhill  Peterchurch  Herefordshire  HR3 6BG  Peterchurch  County of Herefordshire
HELMSLEY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1175226,Listing,I,HELMSLEY CASTLE  CASTLEGATE  Helmsley  Ryedale  North Yorkshire
"ALBERBURY CASTLE, REMAINS OF",https://HistoricEngland.org.uk/listing/the-list/list-entry/1175344,Listing,II,ALBERBURY CASTLE  REMAINS OF  ALBERBURY  Alberbury with Cardeston  Shropshire
REMAINS OF BENINGTON CASTLE (IN GROUNDS OF THE LORDSHIP 15 METRES TO SOUTH EAST OF HOUSE),https://HistoricEngland.org.uk/listing/the-list/list-entry/1175349,Listing,I,REMAINS OF BENINGTON CASTLE (IN GROUNDS OF THE LORDSHIP 15 METRES TO SOUTH EAST OF HOUSE)  CHURCH GREEN  BENINGTON  Benington  East Hertfordshire  Hertfordshire
REMAINS OF TONG CASTLE AT NGR SJ 7916 0696,https://HistoricEngland.org.uk/listing/the-list/list-entry/1176571,Listing,II,REMAINS OF TONG CASTLE AT NGR SJ 7916 0696  NEWPORT ROAD  Tong  Shropshire
REMAINS OF TONG CASTLE AT NGR SJ 7916 0693,https://HistoricEngland.org.uk/listing/the-list/list-entry/1176612,Listing,II,REMAINS OF TONG CASTLE AT NGR SJ 7916 0693  NEWPORT ROAD  Tong  Shropshire
KIRBY MUXLOE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1177213,Listing,I,KIRBY MUXLOE CASTLE  OAKCROFT AVENUE  Kirby Muxloe  Blaby  Leicestershire
WHITTINGTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1178307,Listing,I,WHITTINGTON CASTLE  CASTLE STREET  Whittington  Shropshire
MYDDLE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1178373,Listing,II,MYDDLE CASTLE  MYDDLE  Myddle and Broughton  Shropshire
DANBY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1178588,Listing,I,DANBY CASTLE  CASTLE LANE  Danby  Scarborough  North Yorkshire
RUINS OF WIGMORE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1178673,Listing,I,RUINS OF WIGMORE CASTLE  Wigmore  County of Herefordshire
SOUTHAMPTON CASTLE WALL RUNNING FROM FOREST VIEW TO CASTLE LANE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1178677,Listing,II*,SOUTHAMPTON CASTLE WALL RUNNING FROM FOREST VIEW TO CASTLE LANE  CASTLE LANE  SOUTHAMPTON  City of Southampton
CALDWALL HALL,https://HistoricEngland.org.uk/listing/the-list/list-entry/1179037,Listing,II*,CALDWALL HALL  CASTLE ROAD  KIDDERMINSTER  Wyre Forest  Worcestershire
FRAGMENT OF CASTLE WALL AT SU 6096 8978,https://HistoricEngland.org.uk/listing/the-list/list-entry/1181852,Listing,I,FRAGMENT OF CASTLE WALL AT SU 6096 8978  CASTLE LANE  Wallingford  South Oxfordshire  Oxfordshire
FRAGMENT OF CASTLE TO NORTH OF MANOR HOUSE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1182583,Listing,II,FRAGMENT OF CASTLE TO NORTH OF MANOR HOUSE  ASCOTT D'OYLEY  Ascott-under-Wychwood  West Oxfordshire  Oxfordshire
OLD WARDOUR CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1183429,Listing,I,OLD WARDOUR CASTLE  WARDOUR PARK  Tisbury  Wiltshire
ST BRIAVELS CASTLE AND CURTAIN WALL,https://HistoricEngland.org.uk/listing/the-list/list-entry/1186632,Listing,I,ST BRIAVELS CASTLE AND CURTAIN WALL  CHURCH STREET  St. Briavels  Forest of Dean  Gloucestershire
RUINS OF SUTTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1186956,Listing,II,RUINS OF SUTTON CASTLE  RECTORY LANE  Sutton Valence  Maidstone  Kent
RUINS OF WHORLTON CASTLE UNDERCROFTS,https://HistoricEngland.org.uk/listing/the-list/list-entry/1189310,Listing,II*,RUINS OF WHORLTON CASTLE UNDERCROFTS  CASTLE BANK  Whorlton  Hambleton  North Yorkshire
CASTLE WALL ATTACHED TO NORTH CORNER OF CLIFTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1189981,Listing,II,CASTLE WALL ATTACHED TO NORTH CORNER OF CLIFTON CASTLE  CLIFTON CASTLE  Clifton-on-Yore  Hambleton  North Yorkshire
SNAPE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1190147,Listing,I,SNAPE CASTLE  SNAPE  Snape with Thorp  Hambleton  North Yorkshire
THE MARMION TOWER,https://HistoricEngland.org.uk/listing/the-list/list-entry/1190271,Listing,I,THE MARMION TOWER  CHURCH STREET  West Tanfield  Hambleton  North Yorkshire
CONISBROUGH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1192747,Listing,I,CONISBROUGH CASTLE  CONISBROUGH  Doncaster
ROCKINGHAM CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1193409,Listing,I,ROCKINGHAM CASTLE  A6003  Rockingham  Corby  Northamptonshire
LANCASTER CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1194905,Listing,I,LANCASTER CASTLE  CASTLE PARK|LANCASTER CASTLE  CASTLE PARADE  LANCASTER  Lancaster  Lancashire
Remains of Newark Castle,https://HistoricEngland.org.uk/listing/the-list/list-entry/1196278,Listing,I,Castle Gate  Newark  Nottinghamshire  NG24 1BG  Newark  Newark and Sherwood  Nottinghamshire
CASTLE FOUNDATIONS,https://HistoricEngland.org.uk/listing/the-list/list-entry/1196763,Listing,II,CASTLE FOUNDATIONS  SILVERSALE ROAD  NEWCASTLE UNDER LYME  Newcastle-under-Lyme  Staffordshire
"NISI PRIUS COURTHOUSE, ASSOCIATED OFFICES AND GATE ARCH",https://HistoricEngland.org.uk/listing/the-list/list-entry/1196940,Listing,I,NISI PRIUS COURTHOUSE  ASSOCIATED OFFICES AND GATE ARCH  ENGLISH STREET  CARLISLE  Carlisle  Cumbria
INNER BAILEY PALACE RANGE INCLUDING PART OF QUEEN MARY'S TOWER,https://HistoricEngland.org.uk/listing/the-list/list-entry/1197007,Listing,I,INNER BAILEY PALACE RANGE INCLUDING PART OF QUEEN MARY'S TOWER  CARLISLE CASTLE  CARLISLE  Carlisle  Cumbria
